source_id,source_name,state,scope,source_type,active,endpoint,dataset_id,notes
new_york,New York City,NY,city,socrata,YES,https://data.cityofnewyork.us/resource/ipu4-2q9a.json,ipu4-2q9a,"V19: Full 40-field map — permittee first/last/business/phone/license, owner first/last/business/phon..."
chicago,Chicago,IL,city,socrata,YES,https://data.cityofchicago.org/resource/ydr8-5enu.json,ydr8-5enu,V19: Fixed broken field map — old config had contact_1_type as contractor name and contact_1_state a...
los_angeles,Los Angeles,CA,city,socrata,YES,https://data.lacity.org/resource/pi9x-tg5x.json,pi9x-tg5x,"V19: Full 27-field map — zone, APC, CPA, neighborhood council (CNC), census tract, council district,..."
austin,Austin,TX,city,socrata,YES,https://datahub.austintexas.gov/resource/3syk-w9eu.json,3syk-w9eu,V12.6: Fixed domain to datahub.austintexas.gov
san_francisco,San Francisco,CA,city,socrata,YES,https://data.sfgov.org/resource/i98e-djp9.json,i98e-djp9,
seattle,Seattle,WA,city,socrata,YES,https://cos-data.seattle.gov/resource/76t5-zqzr.json,76t5-zqzr,V12.6: Fixed domain to cos-data.seattle.gov
new_orleans,New Orleans,LA,city,socrata,YES,https://data.nola.gov/resource/rcm3-fn58.json,rcm3-fn58,"V19: Full 35-field map — owner name, applicant, construction value, total/unpaid fees, bond amount, ..."
baton_rouge,Baton Rouge,LA,city,socrata,YES,https://data.brla.gov/resource/f3qw-nd5k.json,f3qw-nd5k,
cincinnati,Cincinnati,OH,city,socrata,YES,https://data.cincinnati-oh.gov/resource/cfkj-xb9y.json,cfkj-xb9y,"V20: Changed date_field from issueddate to applieddate — issueddate is null for most recent records,..."
cambridge,Cambridge,MA,city,socrata,NO,https://data.cambridgema.gov/resource/9qm7-wbdc.json,9qm7-wbdc,V12.6: Verified working — data.cambridgema.gov
washington_dc,Washington DC,DC,city,arcgis,YES,https://maps2.dcgis.dc.gov/dcgis/rest/services/FEEDS/DCRA/FeatureServer/4/query,DCRA_BuildingPermits_Last30Days,V19: Replaced wrong DDOT_TOPS/MapServer with correct DCRA FeatureServer. Using 'Last 30 Days' rollin...
san_antonio,San Antonio,TX,city,ckan,YES,https://data.sanantonio.gov/api/3/action/datastore_search,,"V20: Migrated from dead Socrata (v23u-v49r, 404) to CKAN. Resource c21106f9 has 101K+ records. Sort ..."
kansas_city,Kansas City,MO,city,socrata,YES,https://data.kcmo.org/resource/ntw8-aacc.json,ntw8-aacc,"V18: Replaced fabricated Socrata ID with real ntw8-aacc — BLDS standard data: permitnum, applieddate..."
detroit,Detroit,MI,city,arcgis,YES,https://services2.arcgis.com/qvkbeam7Wirps6zC/arcgis/rest/services/bseed_building_permits/FeatureServer/0/query,bseed_building_permits,"V17h: Switched to ArcGIS Hub bseed_building_permits — record_id, address, permit_type, construction_..."
pittsburgh,Pittsburgh,PA,city,ckan,YES,https://data.wprdc.org/api/3/action/datastore_search,,V12.39: Fixed CKAN endpoint - PLI Permits
denver,Denver,CO,city,arcgis,YES,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_DEV_RESIDENTIALCONSTPERMIT_P/FeatureServer/316/query,ODC_DEV_RESIDENTIALCONSTPERMIT_316,V17h: Switched to ArcGIS FeatureServer/316 — residential construction permits with contractor names
portland,Portland,OR,city,arcgis,YES,https://www.portlandmaps.com/arcgis/rest/services/Public/BDS_Permit/FeatureServer/22/query,BDS_Permit_AllPermits,V17g: Switched to verified portlandmaps.com FeatureServer/22 (All Permits layer)
atlanta,Atlanta,GA,city,arcgis,YES,https://services5.arcgis.com/5RxyIIJ9boPdptdo/arcgis/rest/services/Building_Permit_latest/FeatureServer/0/query,Building_Permit_latest,
nashville,Nashville,TN,city,arcgis,YES,https://services2.arcgis.com/HdTo6HJqh92wn4D8/arcgis/rest/services/Building_Permits_Issued_2/FeatureServer/0/query,Building_Permits_Issued_2,"V19: Switched from Applications to Issued endpoint (Building_Permits_Issued_2). Added Date_Issued, p..."
miami_dade,Miami-Dade County,FL,city,arcgis,YES,https://services.arcgis.com/8Pc9XBTAsYuxx9Ny/arcgis/rest/services/miamidade_permit_data/FeatureServer/0/query,miamidade_permit_data,V19: Replaced dead MD_OpenData/MapServer with ArcGIS FeatureServer miamidade_permit_data. SUPERB dat...
raleigh,Raleigh,NC,city,arcgis,YES,https://services.arcgis.com/v400IkDOw1ad7Yad/arcgis/rest/services/Building_Permits_Issued_Past_180_Days/FeatureServer/0/query,Building_Permits_Issued_Past_180_Days,V19: Replaced broken Building_Permits endpoint with working 180-day rolling feed. GOLD: contractor c...
phoenix,Phoenix,AZ,city,arcgis,YES,https://maps.phoenix.gov/pub/rest/services/Public/Planning_Permit/MapServer/1/query,Planning_Permit_1,"V18: Replaced fabricated endpoint with real maps.phoenix.gov MapServer — company name, scope of work..."
san_jose,San Jose,CA,city,ckan,YES,https://data.sanjoseca.gov/api/3/action/datastore_search,761b7ae8-3be1-4ad6-923d-c7af6404a904,"V12.5: Switched to CKAN — 17K+ permits, daily updates"
san_diego,San Diego County,CA,city,socrata,YES,https://data.sandiegocounty.gov/resource/dyzh-7eat.json,dyzh-7eat,"V17i: Switched to San Diego County Socrata (dyzh-7eat) — contractor_name, contractor_phone, contract..."
sacramento,Sacramento,CA,city,arcgis,YES,https://services5.arcgis.com/54falWtcpty3V47Z/arcgis/rest/services/BldgPermitIssued_CurrentYear/FeatureServer/0/query,BldgPermitIssued_CurrentYear,"V17h: Verified ArcGIS endpoint — Application, Type, Sub_Type, Address, ZIP, Contractor, Valuation, W..."
sacramento_county_ca,Sacramento County,CA,city,arcgis,YES,https://services1.arcgis.com/5NARefyPVtAeuJPU/arcgis/rest/services/Permits/FeatureServer/0/query,Permits_FeatureServer_0,V12.7: New — Sacramento County permits via ArcGIS FeatureServer. Data current Dec 2025. Covers uninc...
boston,Boston,MA,city,ckan,YES,https://data.boston.gov/api/3/action/datastore_search,6ddcd912-32a0-43df-9908-63574f8c7e77,V17g: Re-enabled — data.boston.gov CKAN datastore_search is a known working endpoint
philadelphia,Philadelphia,PA,city,carto,YES,https://phl.carto.com/api/v2/sql,li_permits,V17g: Re-enabled — phl.carto.com/api/v2/sql is a known working CARTO endpoint
baltimore,Baltimore,MD,city,arcgis,YES,https://egisdata.baltimorecity.gov/egis/rest/services/Housing/DHCD_Open_Baltimore_Datasets/FeatureServer/3/query,DHCD_Open_Baltimore_Datasets_3,V17g: Switched to verified ArcGIS FeatureServer (old Socrata was fabricated)
